name,type,start_time,"mosi","miso"
"SPI","result",9.48576018,0x0E,0x5B
"SPI","result",9.48576168,0xE1,0x5B
"SPI","result",9.4857623,0xFF,0x5B
"SPI","result",9.48576378,0xFE,0x5B
"SPI","result",9.4857644,0xFF,0x5B
"SPI","result",9.4857659,0xD3,0x5B
"SPI","result",9.48576652,0xE2,0x5B
"SPI","result",9.485768,0x55,0x5B
"SPI","result",9.48576862,0x55,0x5B
"SPI","result",9.4857701,0x00,0x00
"SPI","result",9.48577074,0x00,0x00
"SPI","disable",9.48577182,,
"SPI","enable",10.4856451,,
"SPI","result",10.4856454,0xC2,0x5B
"SPI","result",10.485646,0x00,0x5B
"SPI","result",10.4856471,0x00,0x0C
"SPI","result",10.4856477,0x00,0x5B
"SPI","disable",10.4856486,,
"SPI","enable",10.4856549,,
"SPI","result",10.4856552,0xC2,0x5B
"SPI","result",10.4856558,0x00,0x5B
"SPI","result",10.4856569,0x00,0x0C
"SPI","result",10.4856576,0x00,0x5B
"SPI","disable",10.4856584,,
"SPI","enable",10.4856596,,
"SPI","result",10.4856599,0x41,0x5B
"SPI","result",10.4856605,0x00,0x5B
"SPI","result",10.4856616,0x00,0x5B
"SPI","result",10.4856622,0x50,0x5B
"SPI","disable",10.4856631,,
"SPI","enable",10.485664,,
"SPI","result",10.4856643,0x00,0x5B
"SPI","result",10.485665,0x00,0x5B
"SPI","result",10.4856664,0xAA,0x5B
"SPI","result",10.485667,0xAA,0x5B
"SPI","result",10.4856685,0xAA,0x5B
"SPI","result",10.4856692,0xAA,0x5B
"SPI","result",10.4856706,0x46,0x5B
"SPI","result",10.4856713,0x00,0x5B
"SPI","result",10.4856728,0x00,0x5B
"SPI","result",10.4856734,0x00,0x5B
"SPI","result",10.4856749,0x33,0x5B
"SPI","result",10.4856755,0x33,0x5B
"SPI","result",10.485677,0x00,0x5B
"SPI","result",10.4856776,0x00,0x5B
"SPI","result",10.4856791,0x00,0x5B
"SPI","result",10.4856797,0x02,0x5B
"SPI","result",10.4856812,0xE0,0x5B
"SPI","result",10.4856818,0x0E,0x5B
"SPI","result",10.4856833,0xE1,0x5B
"SPI","result",10.4856839,0xFF,0x5B
"SPI","result",10.4856854,0xD3,0x5B
"SPI","result",10.485686,0xE2,0x5B
"SPI","result",10.4856875,0x86,0x5B
"SPI","result",10.4856881,0xDD,0x5B
"SPI","result",10.4856896,0x60,0x5B
"SPI","result",10.4856902,0x00,0x5B
"SPI","result",10.4856917,0x00,0x5B
"SPI","result",10.4856924,0x00,0x5B
"SPI","result",10.4856938,0x00,0x5B
"SPI","result",10.4856945,0x10,0x5B
"SPI","result",10.485696,0x3A,0x5B
"SPI","result",10.4856966,0xFF,0x5B
"SPI","result",10.4856981,0xFE,0x5B
"SPI","result",10.4856987,0x80,0x5B
"SPI","result",10.4857002,0x00,0x5B
"SPI","result",10.4857008,0x00,0x5B
"SPI","result",10.4857023,0x00,0x5B
"SPI","result",10.4857029,0x00,0x5B
"SPI","result",10.4857044,0x00,0x5B
"SPI","result",10.485705,0x00,0x5B
"SPI","result",10.4857065,0xE2,0x5B
"SPI","result",10.4857071,0x0E,0x5B
"SPI","result",10.4857086,0xE1,0x5B
"SPI","result",10.4857092,0xFF,0x5B
"SPI","result",10.4857107,0xFE,0x5B
"SPI","result",10.4857113,0xFF,0x5B
"SPI","result",10.4857128,0xD3,0x5B
"SPI","result",10.4857135,0xE2,0x5B
"SPI","result",10.4857149,0xFF,0x5B
"SPI","result",10.4857156,0x02,0x5B
"SPI","result",10.485717,0x00,0x5B
"SPI","result",10.4857177,0x00,0x5B
"SPI","result",10.4857192,0x00,0x5B
"SPI","result",10.4857198,0x00,0x5B
"SPI","result",10.4857213,0x00,0x5B
"SPI","result",10.4857219,0x00,0x5B
"SPI","result",10.4857234,0x00,0x5B
"SPI","result",10.485724,0x00,0x5B
"SPI","result",10.4857255,0x00,0x5B
"SPI","result",10.4857261,0x00,0x5B
"SPI","result",10.4857276,0x00,0x5B
"SPI","result",10.4857282,0x00,0x5B
"SPI","result",10.4857297,0x00,0x5B
"SPI","result",10.4857303,0x02,0x5B
"SPI","result",10.4857318,0x85,0x5B
"SPI","result",10.4857324,0x00,0x5B
"SPI","result",10.4857339,0x4F,0x5B
"SPI","result",10.4857345,0x4B,0x5B
"SPI","result",10.485736,0x00,0x5B
"SPI","result",10.4857367,0x00,0x5B
"SPI","result",10.4857381,0x00,0x5B
"SPI","result",10.4857388,0x00,0x5B
"SPI","result",10.4857402,0x01,0x5B
"SPI","result",10.4857409,0x01,0x5B
"SPI","result",10.4857424,0xE0,0x5B
"SPI","result",10.485743,0x0E,0x5B
"SPI","result",10.4857445,0xE1,0x5B
"SPI","result",10.4857451,0xFF,0x5B
"SPI","result",10.4857466,0xD3,0x5B
"SPI","result",10.4857472,0xE2,0x5B
"SPI","result",10.4857487,0x55,0x5B
"SPI","result",10.4857493,0x55,0x5B
"SPI","result",10.4857508,0xE1,0x00
